transaction_id,customer_id,transaction_date,transaction_type,amount,account_number,branch_name,employee_id,customer_name,email,phone,account_status,risk_level,product_type,channel,country,state,balance,credit_score,last_login
TXN00000611,CUST00111,2025-10-18,PAYMENT,14407.12,ACC0000000267,Los Angeles,EMP0075,james   MILLER  ,customer43@outlook.com,4081725413,active,low,,MOBILE,United States,  CA  ,53444.35,564.0,2025-02-11
TXN00000810,CUST00391,2025-05-07,,578.69,ACC0000000035,  NEW YORK  ,EMP0062,michael Williams,customer44@bank.com,8488134156,INACTIVE,,credit card,MOBILE,canada,  CA  ,78386.58,714.0,2025-08-21
TXN00000634,CUST00173,14-06-2026,deposit,12056.58,ACC0000000259,dallas,,elizabeth MARTINEZ,customer45@gmail.com,9314819379,INACTIVE,Low,Loan,,mexico,CA,37635.14,690.0,2024-04-08
TXN00000232,CUST00053,2025-01-15,DEPOSIT,10724.61,ACC0000000082,San Antonio,EMP0089,MARIA Williams,customer46@yahoo.com,8192677876,  Active  ,MEDIUM,Loan,,USA,TX,23131.81,433.0,2025-09-17
TXN00000795,CUST00048,2025-07-21,transfer,9852.76,ACC0000000213,,EMP0011,  PATRICIA     jones  ,customer47@yahoo.com,3574238104,ACTIVE,  HIGH  ,credit card,ATM,CANADA,tx,99151.5,488.0,2025-07-04
TXN00000536,CUST00195,2024-04-15,DEPOSIT,3406.5,ACC0000000279,SAN DIEGO,EMP0019,  LINDA   rodriguez,customer48@yahoo.com,5881265055,Inactive,Medium,credit card,  Branch  ,  Mexico  ,NY,50943.64,728.0,2024-08-17
TXN00000390,CUST00050,2025-12-29,Transfer,3761.53,ACC0000000275,dallas,EMP0094,JENNIFER   johnson  ,customer49@outlook.com,2793763041,INACTIVE,MEDIUM,credit card,Online,mexico,  CA  ,56433.42,644.0,2024-05-15
TXN00000462,CUST00184,2026/08/01,,13742.03,ACC0000000207,dallas,EMP0094,elizabeth   MILLER  ,user50@gmail,(744) 212-9984,active,High,  Checking  ,atm,,NY,39730.71,596.0,
TXN00000931,CUST00177,2026-05-16,,4833.03,ACC0000000048,Phoenix,EMP0068,MARIA SMITH,customer51@yahoo.com,6161676396,ACTIVE,Medium,Checking,ATM,CANADA,ca,37214.62,355.0,2026-02-25
TXN00000454,CUST00310,2025-06-12,Payment,12398.66,ACC0000000179,  NEW YORK  ,EMP0097,michael   jones  ,customer52@outlook.com,8551916944,Inactive,low,SAVINGS,,mexico,,95211.21,411.0,2024-03-13
TXN00000305,CUST00136,2026-05-21,transfer,8594.46,ACC0000000114,  PHILADELPHIA  ,EMP0100,michael Williams,customer53@yahoo.com,5418965476,,low,investment,  Branch  ,,  CA  ,49473.58,706.0,2025-12-01
TXN00000881,CUST00023,2024-05-07,,1835.04,ACC0000000110,houston,EMP0036,William Davis,customer54@hotmail.com,3499894698,,Medium,SAVINGS,  ONLINE  ,mexico,FL,27022.09,642.0,2024-01-24
TXN00000603,CUST00374,2024-10-18,withdrawal,10116.22,ACC0000000170,dallas,EMP0060,elizabeth Williams,customer55@outlook.com,4801102604,active,  HIGH  ,SAVINGS,ATM,MEXICO,tx,39241.63,655.0,2025-10-29
TXN00000440,CUST00236,2024-03-26,withdrawal,837.45,ACC0000000170,Los Angeles,EMP0067,  PATRICIA   Williams,customer56@outlook.com,5863277203,Active,  HIGH  ,,BRANCH,mexico,ca,85162.1,534.0,2024-06-14
TXN00000313,CUST00275,2026-02-20,deposit,3386.62,ACC0000000185,  NEW YORK  ,EMP0011,michael   jones  ,customer57@bank.com,3079013023,  Active  ,Low,credit card,Mobile,USA,TX,33113.26,354.0,2025-09-04
TXN00001037,CUST00064,2024-06-13,,7760.82,ACC0000000151,houston,EMP0067,William Davis,customer58@yahoo.com,3796396022,Active,high,,ATM,canada,,61378.5,309.0,2024-04-01
TXN00000636,CUST00194,2024-10-06,PAYMENT,736.63,ACC0000000112,,EMP0079,  John     jones  ,customer59@hotmail.com,8029419021,,high,,BRANCH,,ca,75842.8,735.0,2025-03-01
TXN00000062,CUST00041,01-08-2026,DEPOSIT,$4069.16,ACC0000000272,Los Angeles,,elizabeth   jones  ,customer60@hotmail.com,2976416716,,Medium,,BRANCH,usa,  NY  ,77527.32,464.0,2025-11-30
TXN00000625,CUST00283,2025-04-05,Payment,13161.02,ACC0000000244,,EMP0012,  LINDA   rodriguez,customer61@bank.com,9176855620,Inactive,,Checking,Mobile,CANADA,tx,29443.17,491.0,2026-04-12
TXN00000984,CUST00151,2025-06-09,transfer,12997.18,ACC0000000288,  NEW YORK  ,EMP0032,  LINDA   BROWN,customer62@gmail.com,7643772623,Active,,credit card,atm,CANADA,  CA  ,26908.99,421.0,2025-12-03
TXN00000758,CUST00322,2024-05-30,PAYMENT,11614.24,ACC0000000005,  PHILADELPHIA  ,EMP0061,  John   SMITH,customer63@yahoo.com,2492746210,SUSPENDED,Low,investment,ATM,  Mexico  ,ny,1752.63,479.0,2026-01-30
TXN00000102,CUST00317,2026-04-30,DEPOSIT,4694.93,ACC0000000059,SAN DIEGO,EMP0081,james   jones  ,customer64@gmail.com,9694983960,Active,low,credit card,MOBILE,canada,  NY  ,31355.31,455.0,2024-03-16
TXN00000971,CUST00186,2025-03-23,,1341.46,ACC0000000178,San Antonio,EMP0095,Robert Davis,customer65@hotmail.com,5539259711,inactive,  HIGH  ,SAVINGS,  ONLINE  ,USA,CA,62694.85,601.0,2025-04-25
TXN00000782,CUST00296,2024-04-03,PAYMENT,6878.36,ACC0000000229,  PHILADELPHIA  ,EMP0085,MARIA   jones  ,customer66@outlook.com,7647087597,Inactive,High,MORTGAGE,Mobile,canada,CA,87897.26,485.0,2024-11-01
TXN00000213,CUST00099,2024-08-15,Transfer,5565.34,ACC0000000124,  NEW YORK  ,EMP0086,michael Williams,customer67@bank.com,6887063090,INACTIVE,,investment,MOBILE,,CA,89492.85,762.0,2025-01-22
TXN00000641,CUST00361,2026-04-16,PAYMENT,4409.35,ACC0000000125,dallas,EMP0010,  LINDA   BROWN,customer68@hotmail.com,4651099414,  Active  ,high,credit card,  Branch  ,canada,CA,82608.53,738.0,2026-06-04
TXN00000217,CUST00036,2025-04-06,withdrawal,11778.38,ACC0000000021,Phoenix,EMP0088,  John     johnson  ,customer69@yahoo.com,9302593070,Suspended,,,mobile,usa,CA,8376.45,789.0,2025-09-14
TXN00000271,CUST00024,2024/12/23,,11106.66,ACC0000000165,SAN DIEGO,EMP0082,Robert Davis,,346-487-5380,SUSPENDED,MEDIUM,MORTGAGE,,  USA  ,CA,,785.0,2024-02-11
TXN00000677,CUST00339,2024-01-28,Withdrawal,3676.63,ACC0000000196,  NEW YORK  ,EMP0070,MARIA MARTINEZ,customer71@bank.com,2548427064,,MEDIUM,Checking,BRANCH,  Mexico  ,ca,83407.31,618.0,2026-05-31
TXN00000084,CUST00117,2025-02-28,PAYMENT,5555.69,ACC0000000059,Los Angeles,EMP0075,JENNIFER MARTINEZ,customer72@gmail.com,9248965081,active,,SAVINGS,mobile,mexico,  NY  ,91474.16,710.0,2024-06-11
TXN00000161,CUST00396,2024-02-24,transfer,14579.27,ACC0000000198,Phoenix,EMP0040,  LINDA   MARTINEZ,customer73@outlook.com,8947237852,SUSPENDED,High,credit card,  Branch  ,CANADA,  CA  ,60301.1,437.0,2025-08-19
TXN00000246,CUST00149,2025-02-09,Transfer,14966.92,ACC0000000132,Los Angeles,EMP0079,michael   jones  ,customer74@bank.com,9235683999,INACTIVE,High,MORTGAGE,ATM,MEXICO,FL,17316.67,623.0,2026-02-06
TXN00000178,CUST00041,2026-13-45,,11649.5,ACC0000000277,houston,,  LINDA     johnson  ,customer75@bank.com,6494628678,ACTIVE,MEDIUM,,Mobile,  USA  ,ca,20715.63,368.0,
TXN00000566,CUST00120,2025-05-29,PAYMENT,11000.33,ACC0000000145,SAN DIEGO,EMP0007,JENNIFER rodriguez,customer76@hotmail.com,7143935519,ACTIVE,low,Loan,Online,  USA  ,ca,83469.43,699.0,2025-06-27
TXN00000077,CUST00052,2025-01-17,TRANSFER,8221.06,ACC0000000013,Los Angeles,EMP0044,elizabeth SMITH,customer77@outlook.com,6386334748,SUSPENDED,high,Loan,Online,United States,NY,34027.9,328.0,2024-08-11
TXN00000976,CUST00195,2024-08-29,Transfer,11949.8,ACC0000000265,Los Angeles,EMP0069,Robert Williams,customer78@outlook.com,5127502424,Suspended,high,investment,  Branch  ,usa,tx,24365.78,406.0,2024-05-02
TXN00000003,CUST00143,2025-01-30,Withdrawal,2300.97,ACC0000000192,houston,EMP0100,elizabeth SMITH,customer79@outlook.com,5125166123,SUSPENDED,,SAVINGS,MOBILE,,ca,79551.7,380.0,2026-03-15
TXN00000419,CUST00233,2024/03/24,TRANSFER,,ACC0000000264,SAN DIEGO,EMP0002,james GARCIA,USER80@YAHOO.COM,2927492302,INACTIVE,,investment,  Branch  ,  Mexico  ,tx,9515.01,,2024-01-30
TXN00000999,CUST00326,2025-01-18,Transfer,13989.34,ACC0000000261,San Antonio,EMP0061,  LINDA   Williams,customer81@outlook.com,2788474932,ACTIVE,Medium,Checking,,MEXICO,,37058.14,481.0,2024-09-26
TXN00000706,CUST00187,2024-08-17,Payment,407.46,ACC0000000229,houston,EMP0059,JENNIFER Williams,customer82@outlook.com,2952691940,active,High,SAVINGS,mobile,  Mexico  ,  NY  ,40058.54,587.0,2024-09-10
TXN00000609,CUST00084,2024-01-29,transfer,8146.1,ACC0000000250,houston,EMP0066,  John     jones  ,customer83@hotmail.com,2868615683,INACTIVE,,SAVINGS,BRANCH,United States,CA,9732.52,402.0,2026-05-12
TXN00000482,CUST00190,2024-11-22,DEPOSIT,9557.33,ACC0000000023,SAN DIEGO,EMP0061,JENNIFER   MILLER  ,customer84@outlook.com,7676041175,ACTIVE,low,MORTGAGE,Mobile,USA,FL,30071.35,394.0,2026-01-29
TXN00000299,CUST00182,2024-04-11,Transfer,10417.24,ACC0000000152,houston,EMP0074,JENNIFER SMITH,customer85@hotmail.com,6347939334,inactive,Medium,  Checking  ,Online,USA,CA,11644.74,681.0,2025-07-08
TXN00000034,CUST00108,2026-05-09,Withdrawal,193.44,ACC0000000099,dallas,EMP0094,Robert   jones  ,customer86@hotmail.com,9482398858,ACTIVE,Medium,credit card,MOBILE,MEXICO,  CA  ,82932.33,815.0,2026-04-20
TXN00000238,CUST00344,2026-01-01,deposit,5058.51,ACC0000000165,CHICAGO,EMP0043,William   johnson  ,customer87@outlook.com,7096279722,Inactive,MEDIUM,  Checking  ,BRANCH,USA,  NY  ,21027.42,557.0,2024-10-09
TXN00000296,CUST00137,2025-10-27,DEPOSIT,11395.99,ACC0000000264,SAN DIEGO,EMP0054,William BROWN,customer88@gmail.com,9142277643,ACTIVE,Medium,SAVINGS,MOBILE,  USA  ,  NY  ,22442.99,846.0,2024-03-09
TXN00000724,CUST00360,2024-12-09,,5675.31,ACC0000000043,SAN DIEGO,EMP0046,james   johnson  ,customer89@yahoo.com,2147314115,inactive,,  Checking  ,Online,United States,TX,18177.46,829.0,2025-09-26
TXN00000290,CUST00350,01-08-2026,Transfer,11084.34,  ACC0000000050  ,San Antonio,,elizabeth Williams,customer90@outlook.com,,active,High,investment,,  Mexico  ,ca,62318.57,697.0,2025-01-31
TXN00000720,CUST00332,2026-03-21,DEPOSIT,4647.28,ACC0000000086,Los Angeles,EMP0038,William GARCIA,customer91@yahoo.com,9631077962,,,SAVINGS,  ONLINE  ,,,22232.29,361.0,2025-02-05
TXN00000995,CUST00037,2024-05-29,PAYMENT,3117.66,ACC0000000276,dallas,EMP0038,JENNIFER   jones  ,customer92@hotmail.com,9196476653,inactive,  HIGH  ,credit card,Online,United States,ny,42528.89,306.0,2024-06-15
TXN00000465,CUST00312,2024-05-20,Transfer,14747.58,ACC0000000274,  PHILADELPHIA  ,EMP0022,Robert GARCIA,customer93@gmail.com,4508569652,INACTIVE,  HIGH  ,  Checking  ,atm,  Mexico  ,ny,73056.33,849.0,2024-06-03
TXN00000073,CUST00326,2024-02-09,TRANSFER,6326.25,ACC0000000004,,EMP0005,MARIA rodriguez,customer94@hotmail.com,9007231693,SUSPENDED,low,SAVINGS,ATM,  USA  ,ny,95111.65,315.0,2025-08-04
TXN00000704,CUST00088,2024-10-20,Withdrawal,14419.72,ACC0000000034,San Antonio,EMP0089,elizabeth GARCIA,customer95@gmail.com,8215593761,,  HIGH  ,  Checking  ,atm,  Mexico  ,  CA  ,10640.41,410.0,2024-03-24
TXN00000240,CUST00274,2026-04-29,withdrawal,14589.76,ACC0000000108,Los Angeles,EMP0077,james SMITH,customer96@hotmail.com,8908829577,ACTIVE,high,  Checking  ,Mobile,canada,ca,80081.57,785.0,2026-03-31
TXN00000947,CUST00374,2025-04-28,withdrawal,2178.48,ACC0000000110,CHICAGO,EMP0096,james rodriguez,customer97@bank.com,4302792230,inactive,high,investment,  Branch  ,,,45285.36,828.0,2026-06-08
TXN00001029,CUST00126,2025-12-13,Withdrawal,4233.39,ACC0000000218,CHICAGO,EMP0039,Robert GARCIA,customer98@bank.com,5759593184,Active,,,,MEXICO,  CA  ,32414.7,705.0,2024-07-26
TXN00000807,CUST00084,2026-05-01,deposit,706.31,ACC0000000054,SAN DIEGO,EMP0094,  LINDA     MILLER  ,customer99@bank.com,7264611834,Suspended,low,MORTGAGE,BRANCH,United States,FL,2589.62,792.0,2024-05-01
TXN00000811,CUST00237,,Withdrawal,3510.51,ACC0000000106,San Antonio,EMP0073,JENNIFER Williams,user100@gmail,(632) 607-7211,ACTIVE,Low,  Checking  ,mobile,USA,FL,62456.31,806.0,
TXN00001035,CUST00195,2024-05-22,PAYMENT,12690.29,ACC0000000276,SAN DIEGO,EMP0034,MARIA BROWN,customer101@gmail.com,3744822855,,Medium,credit card,  ONLINE  ,usa,,95320.33,430.0,2025-03-05
TXN00000604,CUST00139,2026-02-16,Withdrawal,6225.2,ACC0000000223,  PHILADELPHIA  ,EMP0008,james rodriguez,customer102@hotmail.com,5467955092,inactive,  HIGH  ,credit card,ATM,  USA  ,tx,15818.96,500.0,2025-05-13
TXN00000678,CUST00328,2025-12-23,Withdrawal,13438.89,ACC0000000037,CHICAGO,EMP0081,  PATRICIA   BROWN,customer103@yahoo.com,7529712931,Inactive,high,investment,,USA,ny,86561.62,381.0,2024-01-15
TXN00000824,CUST00353,2025-04-25,DEPOSIT,6903.95,ACC0000000079,SAN DIEGO,EMP0061,William MARTINEZ,customer104@gmail.com,4974068915,,MEDIUM,SAVINGS,  ONLINE  ,MEXICO,tx,80435.87,477.0,2025-05-28
TXN00000203,CUST00286,04-04-2025,,11231.1,ACC0000000013,dallas,,William rodriguez,customer105@gmail.com,5003714490,Active,,credit card,BRANCH,CANADA,,,666.0,2024-02-27
TXN00000436,CUST00113,2025-09-22,withdrawal,8732.52,ACC0000000236,,EMP0075,William   johnson  ,customer106@gmail.com,2028557449,Active,,Loan,BRANCH,usa,ca,29064.4,754.0,2025-01-10
TXN00000118,CUST00351,2024-01-06,deposit,7606.15,ACC0000000170,  PHILADELPHIA  ,EMP0022,michael Davis,customer107@hotmail.com,4224129446,Inactive,,credit card,Mobile,United States,  CA  ,77206.18,313.0,2025-02-19
TXN00000558,CUST00167,2024-03-22,DEPOSIT,9576.37,ACC0000000020,  PHILADELPHIA  ,EMP0074,MARIA   johnson  ,customer108@gmail.com,2365748999,active,,Checking,Online,CANADA,  CA  ,9626.57,579.0,2025-07-24
TXN00000231,CUST00394,2024-01-20,withdrawal,5945.55,ACC0000000045,SAN DIEGO,EMP0007,james SMITH,customer109@bank.com,2584641096,  Active  ,High,credit card,BRANCH,  USA  ,ny,77857.04,756.0,2025-01-12
TXN00000664,CUST00398,2024/09/19,,8898.84,ACC0000000038,  PHILADELPHIA  ,EMP0085,  LINDA   GARCIA,customer110@yahoo.com,8305716382,Suspended,Low,SAVINGS,Mobile,CANADA,,18555.15,438.0,2026-05-11
TXN00001018,CUST00029,2024-08-08,Withdrawal,981.13,ACC0000000028,  PHILADELPHIA  ,EMP0038,Robert GARCIA,customer111@hotmail.com,5054622755,Inactive,High,Loan,Online,usa,FL,38910.31,718.0,2025-03-03
TXN00000998,CUST00118,2026-05-05,,9953.54,ACC0000000092,San Antonio,EMP0095,james Davis,customer112@yahoo.com,2054584050,Inactive,high,investment,MOBILE,usa,CA,53392.0,569.0,2026-05-11
TXN00000273,CUST00017,2024-06-02,withdrawal,2004.09,ACC0000000129,San Antonio,EMP0080,elizabeth rodriguez,customer113@hotmail.com,6114631145,INACTIVE,MEDIUM,SAVINGS,atm,CANADA,  NY  ,99761.76,468.0,2025-02-06
TXN00000847,CUST00162,2025-07-15,Payment,4410.56,ACC0000000286,  PHILADELPHIA  ,EMP0004,JENNIFER Williams,customer114@hotmail.com,3035419061,SUSPENDED,,credit card,ATM,mexico,TX,69911.81,735.0,2025-04-16
TXN00000146,CUST00206,2026-01-14,Transfer,12771.16,ACC0000000037,dallas,EMP0037,Robert SMITH,customer115@hotmail.com,4021869668,active,Low,credit card,BRANCH,,tx,52848.38,377.0,2026-02-10
TXN00000074,CUST00138,2025-09-15,Transfer,13894.33,ACC0000000295,houston,EMP0063,MARIA BROWN,customer116@hotmail.com,7262577729,SUSPENDED,Medium,investment,Mobile,mexico,CA,56587.07,450.0,2026-06-17
TXN00000989,CUST00034,2025-06-24,TRANSFER,5924.64,ACC0000000117,dallas,EMP0011,james Williams,customer117@yahoo.com,3265991113,active,High,credit card,Online,CANADA,,60902.1,413.0,2024-02-11
